2025-08-05 09:47:19 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 09:58:22 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 10:08:52 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 11:02:56 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 14:15:49 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 14:20:35 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 14:36:23 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 14:39:17 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 14:46:13 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 15:04:16 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-06 09:41:05 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-06 09:50:46 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
